fold,n_train,n_test,failures_train,failures_test,auc_model1,auc_model2,auc_model3
1,142617,15847,443,46,0.9760912215242293,0.820550708127994,0.973083706865003
2,142617,15847,433,56,0.9607574839194116,0.8998627156517727,0.9752763780453604
3,142617,15847,436,53,0.9275148671217397,0.9053545530784322,0.9470744801584553
4,142617,15847,435,54,0.9584977873460111,0.8747827799939495,0.9546095199232665
5,142618,15846,442,47,0.9275364856111281,0.8975696010924473,0.9443002721691247
6,142618,15846,444,45,0.9673508709012791,0.8696706959475138,0.9687825665042296
7,142618,15846,440,49,0.9555973557366226,0.8686084802978608,0.950354820664735
8,142618,15846,437,52,0.9820793680170659,0.9150492884347512,0.99022998022618125
9,142618,15846,445,44,0.9657508830872962,0.921015464095454,0.9729378329555523
10,142618,15846,446,43,0.9662118908832441,0.8996054620185452,0.9748516987501638
