"variable","coefficient","std_error","t_statistic","p_value","ci_lower_95","ci_upper_95"
"(Intercept)",0,0,NA,NA,0,0
"emergency_borrowing",0,0,NA,NA,0,0
"surplus_ratio",0,0,NA,NA,0,0
"profit_shortfall",0,0,NA,NA,0,0
"loan_ratio",0,0,NA,NA,0,0
"leverage",0,0,NA,NA,0,0
"log_age",0,0,NA,NA,0,0
"growth_cat2",0,0,NA,NA,0,0
"growth_cat3",0,0,NA,NA,0,0
"growth_cat4",0,0,NA,NA,0,0
"growth_cat5",0,0,NA,NA,0,0
"gdp_growth_3years",0,0,NA,NA,0,0
"inf_cpi_3years",0,0,NA,NA,0,0
"emergency_borrowing:surplus_ratio",0,0,NA,NA,0,0
"emergency_borrowing:profit_shortfall",0,0,NA,NA,0,0
